Title,Company,Location,Salary,Salary Type,Fit Score,Response Probability,Missing Skills,Verdict,URL
Finance Analyst - Austria and Europe,LUSH,"Vienna, Vienna, Austria (Hybrid)","Compensation: €1,975 - €2,678 / month",annual,15,5,Finance background/qualification | German language skills | Retail/commercial finance experience | Sales reporting experience | Till system management | Stock management processes | Budgeting and forecasting | FP&A experience | Business intelligence systems,Do not apply - this is a complete career pivot from ML engineering to retail finance requiring domain expertise and German fluency you don't possess.,https://www.linkedin.com/jobs/view/4395268839/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=k3cvThPbXqcOAHJjL1jqUw%3D%3D&trackingId=zs6QkVHR9KisnFOAOAgj%2Bw%3D%3D&trk=flagship3_search_srp_jobs
Lead Platform Engineer,SQUER,"Vienna, Austria (Hybrid)","At SQUER, we understand that career growth and learning are key to the success of our employees and our company. That's why we offer a range of opportunities for our team to constantly build their knowledge and skills. One of the ways we support our team's learning is through a freely available further training budget of €5,000 per year. This allows our employees to invest in their own education, gain new insights that can be applied to their work, and allow them to bring fresh ideas back to SQUER.",annual,15,5,Kubernetes/OpenShift cluster management | GitOps with ArgoCD/Flux | Infrastructure as Code (Terraform/Pulumi/Crossplane) | CI/CD pipeline design | Multi-cloud platforms (AWS/GCP/Azure) | Supply-chain security | German fluency | Platform engineering experience | Enterprise consulting experience | Technical leadership of engineering teams,Do not apply - this is a senior platform engineering role requiring enterprise infrastructure expertise that doesn't align with your ML research background.,https://www.linkedin.com/jobs/view/4392505781/?eBP=CwEAAAGdU_8Of-9fDBkwTA8kpdi-MJdaDzxs6LYJvYMUhkd-FoRusAOtBWuZEddgtNnI4dhRtgLQ_feFsCYcsMw6GMusiMW40mzrHL3mtY1GBnWt7o7WYbrrGnQ91HZ3hfsytUb_0bcSmmcaFUklbgJoXDiYJ2ZzXgxSCJ5QbpdWOzCeNwT4VMR6FAkxdC8vBCB3i-st4nN8wJUuTvhmhM00im_b7qUDI_y4oOzRIFzwz54H0YOoTJkmUkaR54t3vSb9312WENtltFIbGGzXfNg4C4Ehf59YQKo6tZa1tn6IVzjvj7ebXHZj3r5cYPxHNgNVd5OsoB7AuTvksaCdZN6g-F1T0q7PlCRhvDH7IOR6jYj-z8jj66NZfovkkzc1u0AX53i7hKBZwQb0v7fSW5dHu-3LVSz5_QBf-DV8zwqNpjGRyU4RFEFOqoVNTcrSeDzvJgA0X5HFGQ&refId=eEpyFSGsqxLvmD29oOu3Ag%3D%3D&trackingId=1ZncoETxaid987%2FcCCAPxw%3D%3D&trk=flagship3_search_srp_jobs
Lead Front-End Developer (Angular),Qualysoft,"Vienna, Vienna, Austria (Hybrid)",€520 - €560 a day,annual,5,0,"Angular 18+ development | TypeScript | Frontend testing (Jasmine, Karma) | Angular Web Components | Responsive Web Design | Accessibility standards | German language proficiency | Frontend leadership experience | Security clearance eligibility",Do not apply - this is a senior frontend developer role requiring Angular expertise while your background is entirely in ML research engineering.,https://www.linkedin.com/jobs/view/4389752428/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oQYP%2Bp3ys37h4BFQTIKLHA%3D%3D&trackingId=AY23rraV1R%2B6u2Zh1OMg%2BQ%3D%3D&trk=flagship3_search_srp_jobs

--- HOURLY RATE (92 jobs) ---
(Master’s/PhD) Academic Content Contributor – Engineering | $60/hr Remote,Crossing Hurdles,EMEA (Remote),(Master’s/PhD) Academic Content Contributor – Engineering | $60/hr Remote,hourly,85,75,CAD software experience | Traditional engineering disciplines focus | Manufacturing or design engineering background,"Apply - strong technical writing skills, advanced degree, and research experience make you competitive despite domain mismatch.",https://www.linkedin.com/jobs/view/4392883684/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=mUDzFaoeWVfVGrf8pW6PZw%3D%3D&trackingId=6crbT3P88bF%2Bl3sVw9W7ug%3D%3D&trk=flagship3_search_srp_jobs
Computer Science Expert with Python Experience - AI Projects on Mindrift,Mindrift,Austria (Remote),"On this project, contributors can earn up to $50 per hour equivalent, depending on their level and pace of contribution.",hourly,85,75,"Explicit Computer Science degree | Professional certifications (CMME, SAS, CAP) | Direct experience designing CS problems for evaluation | Structured scoring criteria application experience",Apply immediately - your technical skills perfectly match their Python requirements and your research background at IST Austria gives you both location advantage and the analytical rigor they need.,https://www.linkedin.com/jobs/view/4393550694/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=KhkQm0TyAfBPvrM0IGiu%2BQ%3D%3D&trackingId=9NJ86etfCYYsmxPuFyS2oQ%3D%3D&trk=flagship3_search_srp_jobs
Statistical Specialist | Remote,Crossing Hurdles,EMEA (Remote),$62/hr - $120/hr,hourly,75,65,"R, SAS, or SPSS proficiency | Traditional statistical consulting experience | Business-focused statistical methodology evaluation | Dashboard creation tools | Data privacy and ethical AI formal training | Client-facing statistical consulting","Apply - your strong Python and data analysis skills translate well, though you'll need to demonstrate statistical consulting mindset beyond your research background.",https://www.linkedin.com/jobs/view/4395025537/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=W%2BWWHmxCCKtxuYWCiznb9g%3D%3D&trackingId=d8pLbz%2FE5d9XQ6Nw6SSr9Q%3D%3D&trk=flagship3_search_srp_jobs
Senior ML Engineer (Python),Proxify,EMEA (Remote),€55/hr - €99/hr,hourly,75,60,"Cloud platforms (AWS, GCP, Azure) | Kubeflow and Airflow experience | Database and data warehouse experience | CI/CD for ML pipelines | Model monitoring in production | Classification and recommendation models for business problems | R or Java programming languages","Yes, apply - strong Python and ML fundamentals with production experience, though highlight any cloud/database work and emphasize business applications of your technical skills.",https://www.linkedin.com/jobs/view/4338878619/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=JOD7%2Bx8rDyBzz%2BJtqmk03Q%3D%3D&trackingId=3cf%2FhZwgxvpmTmBWKV7LPA%3D%3D&trk=flagship3_search_srp_jobs
Data Analyst | Remote,Crossing Hurdles,EMEA (Remote),$62/hr - $120/hr,hourly,75,65,R programming language | SAS or SPSS experience | Business intelligence dashboard creation | Data storytelling for business audiences | Statistical consulting for non-research contexts,"Apply - your strong Python and statistical analysis background compensates for missing R/SAS experience, and the role's AI focus aligns well with your expertise.",https://www.linkedin.com/jobs/view/4395020823/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=JOD7%2Bx8rDyBzz%2BJtqmk03Q%3D%3D&trackingId=E%2Ft5wkIMxl0EF5ujQgGD8g%3D%3D&trk=flagship3_search_srp_jobs
"University Assistant Predoctoral, Computer Science",University of Vienna,"Innere Stadt, Vienna, Austria",$85/hr - $85/hr,hourly,75,45,"German language proficiency (requires excellent German) | Multimedia systems and digital media technologies focus | Misinformation detection experience | Java, C, C++, JavaScript programming | Web-based systems and databases | Formal Computer Science education | Teaching experience in CS courses","They should apply if they can demonstrate German proficiency, as their strong AI/ML research background and publication record could compensate for the multimedia systems gap.",https://www.linkedin.com/jobs/view/4392041973/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=lsGwFFmDjcc8h9EilnO9Dg%3D%3D&trackingId=4U5e3mnvmFWacTxAmnbmtw%3D%3D&trk=flagship3_search_srp_jobs
Freelance Machine Learning Engineer,Mindrift,Austria (Remote),"On this project, contributors can earn up to $58 per hour equivalent, depending on their level and pace of contribution.",hourly,75,70,"5+ years experience (has 4+) | Expert SQL and database operations | GenAI technologies (LLMs, RAG, prompt engineering, vector databases) | LangChain framework experience | MLOps practices beyond basic deployment","Apply - your strong Python/ML foundation, Austria location, publications, and research experience make you a solid candidate despite missing some modern AI stack requirements.",https://www.linkedin.com/jobs/view/4393214511/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=law5p9DsWIi8GkGhcfp%2Bkg%3D%3D&trackingId=YUydddSMreEOLJZZ5kx2rA%3D%3D&trk=flagship3_search_srp_jobs
Data Management Specialist | Remote,Crossing Hurdles,EMEA (Remote),$62/hr - $120/hr,hourly,75,60,R programming | SAS or SPSS experience | Business reporting and dashboards | Data storytelling for non-technical audiences | Explicit statistical consulting experience | Data privacy and ethical AI knowledge,"Apply with caution - you're technically strong but may be overqualified, and you'll need to emphasize statistical consulting aspects over ML engineering.",https://www.linkedin.com/jobs/view/4395029567/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=H04ZsOuPSFxvijbVF6L4KA%3D%3D&trackingId=rvS9uXXBliYyVq62GBGvqQ%3D%3D&trk=flagship3_search_srp_jobs
Biology & Python Expert - Freelance AI Trainer,Mindrift,Austria (Remote),"On this project, contributors can earn up to $45 per hour equivalent, depending on their level and pace of contribution.",hourly,75,70,Formal Biology degree (has Aerospace Engineering) | BioPython library experience | Bioinformatics tools and methods | Systems biology experience | Molecular modeling experience | Specific computational biology problem design experience,You should apply as your strong Python/data analysis skills and research experience outweigh the biology degree gap for this project-based role.,https://www.linkedin.com/jobs/view/4392067972/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=k3cvThPbXqcOAHJjL1jqUw%3D%3D&trackingId=fbrq4d3gGI%2F7tBdcARN9lA%3D%3D&trk=flagship3_search_srp_jobs
Data Engineer,Remobi,European Union (Remote),€55/hr - €99/hr,hourly,75,65,"Snowflake experience | AWS services (S3, Lambda, API Gateway) | AWS CDK | Financial/pricing calculation systems | SAP data integration experience | Proven backend architecture at scale","Apply - your FastAPI experience and proven ability to refactor complex data pipelines gives you a solid foundation, though you'll need to emphasize transferable enterprise data skills.",https://www.linkedin.com/jobs/view/4396457256/?eBP=CwEAAAGdU_y6ZcjVH8gGkQwVlMnihCcVebGc2zpcr1h2TQDjV9drHX8lX-zceBxGUmJWtl_0DiQL4LzkmeTP1J9dAw4YIf6LdnlBDvR5QnkW9xiUAHIKFwbjNp6dAotbRhc5BcFW1FKky8rFqGjiXi6IoOU-ngWuj_skFmSYp1ItQ2zLsHWjISmqYp9EHweJwfx_vqyi2UxThhUl__xweHA4YmRLb7qxF3dN7j9dqpenet_bYhey8Tlc8atpMcd1Vl8cV89au_FuUSKl5ii83_nRKV5NVvM4oICu8mJKoZ0yEoKGutkD_ggnVP_yd66dPSbtvgHbBij1rpV9go7Vk3XiD3Mg3T4PvU_BlAu5oV0NHmy9i6HjRsTYRsLHxX8zsN11O5I7hy-yptvtwXmnBDZQ1qfMZzjX7SqLdC2cqQyY1E6WiqChjVo991r_C4jOh2B24rkuHzpHmzCXUvu-rc9PCCtnIWF49A&refId=fKf58i7TAaDhZKoQTg6pgQ%3D%3D&trackingId=xzxEQbMpomhbn2F2hwm3gw%3D%3D&trk=flagship3_search_srp_jobs
Python Developer,micro1,EMEA (Remote),$100/hr - $100/hr,hourly,75,65,Pure software development focus (heavy research background) | Traditional web application development | Cloud platforms experience | Deployment automation | Open-source contributions,"Yes, apply - your Python and AI expertise strongly match their needs, though you'll need to emphasize your software engineering over pure research experience.",https://www.linkedin.com/jobs/view/4395705162/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=1s1TRVB7%2BmTIeUUT1g4QVQ%3D%3D&trackingId=6BvjeBDEbwRAJ5aku%2BsPQg%3D%3D&trk=flagship3_search_srp_jobs
Software Developer | Remote,Crossing Hurdles,European Union (Remote),$150/hr - $150/hr,hourly,65,25,JavaScript/ReactJS experience | C/C++ development | Java programming | Rust programming | Go programming | Full-stack web development | Production-grade application development at top-tier product companies | Enterprise software development experience,"Apply cautiously - while the analytical skills transfer well, the heavy research background and missing enterprise software languages make this a stretch against 1000+ applicants with more direct experience.",https://www.linkedin.com/jobs/view/4369848108/?eBP=CwEAAAGdU_K0PbUCM_mNPpwW0semwccTT8Z84cYE1AVMvWC6Fequ77ZbH-EM5Qtym8ga6j_bhCJsYHPTBlt1zNa4-hAENy2R2jZkW_avYuAucK4CubTWBfas4a7g3m9xwbB1sGXM1kAibBKyYqnSfkLE7ulrags2jZWiHQAAUXdoLVyQRS9VT3XO0a_sHwIoo_AFtaQwa2RsNMg1ThbxLSKy8GmAovzKim2_qJjq80jmA_WVBrUJnlcbqbLN-YMwX5lDFIiH9VK0WcDPC1w63Ca1hJf8NdwIvURD87WnPJdYFSLduua2k8ZACSedq4y9fEBPUqEHWEYFCDIIBX-bWr8tjqp-PlRnAsQ7m44gBtInL4fC0WjaO_s4f5oAJkVO1BvHFzifgJ58fplCdDxJTC_JQk8dUTK5su7FJOMbvf5-AnZO5fCuba4JyNTVFnK6ipqifZuYsFFy0powBiNVAk4XkE25NaSPMnfg9tb8iUCD57AZclYXDA-tQYepLRGSVDwX&refId=nqFcEen7o2swW1OErM9KdQ%3D%3D&trackingId=8lHIsS2sjz9lldasGJBmEw%3D%3D&trk=flagship3_search_srp_jobs
AI Engineer - EU Remote - up to €130k,Oliver Bernard,European Union (Remote),€55/hr - €99/hr,hourly,65,25,"LLM experience (GPT, Claude, etc.) | RAG systems | Agent frameworks (LangChain) | Vector databases | Tool use and function calling | Conversational AI | Production LLM deployment","They should apply as their technical foundation is solid, but they're competing against 239 applicants with likely more direct LLM experience.",https://www.linkedin.com/jobs/view/4395635949/?eBP=CwEAAAGdU_K0PtetIuAX81Gi7jo4c8i1ZxGZzi-7l9gqEOZVEuiPsRKTKibU4GzV_xzKYF0Py4IEufeblyu7ECX_h2LnpKxC3_cKMPK46cZ3CfNHYm017MenHhdoVjczlWjAAdQfY1cuwSvOuHtJWjvQq--fnJHwybyRSS6mmWiPP8sHgIDg2XLyjTFr4OHgVq_RlC6RT9amXB48O4Dpq3UgjktzpCB-2Q1jheXttSpComx6g5H3C5-0PKnFJgCWIH-1qkloTXHTb79aQKB1I55I9K0ar8Wll3hK4Kj7_Lk5r1e-1ywoKkVsmq9Nxu_yHD49Q3pqJNHodqij13uoeABKCuRtdYqkBttv5RyGaDlxKCXoV1xj5tZeyhT3_QSE8ce61JMGOv0OrcyBQ_yXZ_3WsGOKc4xi6c7TsA0otCzlLzOdpNjxGcJH2fg7NJRSZmkHXMAxBXLXKMQyXQ4YJfKIodPBjGFjnpEe4EJXRU9yB13scQFIcF2gAbETv3GaY0ZBIv0&refId=nqFcEen7o2swW1OErM9KdQ%3D%3D&trackingId=MxHt6rVWfq68KD3dEfLGdw%3D%3D&trk=flagship3_search_srp_jobs
Freelance Data Science Engineer (Python & SQL),Mindrift,Austria (Remote),"On this project, contributors can earn up to $58 per hour equivalent, depending on their level and pace of contribution.",hourly,65,70,"SQL database operations expertise (only mentions LeetCode SQL 50) | GenAI technologies (LLMs, RAG, prompt engineering, vector databases) | Business-focused data science across industries like finance, telecom, healthcare | 5+ years hands-on data science experience (has 4+ years) | Statsmodels, Matplotlib, Seaborn libraries | Big data processing at scale beyond 11TB research datasets","Should apply as the technical foundation is strong and location/language requirements are met, but expect competition from candidates with more direct business data science experience.",https://www.linkedin.com/jobs/view/4393514345/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=lG5A2iKhnvhuL%2FhB8XOHvA%3D%3D&trackingId=RyOPr1Z%2FgH3CQHbzULD61A%3D%3D&trk=flagship3_search_srp_jobs
Data Engineer (AI/ML),micro1,EMEA (Remote),€55/hr - €99/hr,hourly,65,45,ETL/ELT pipeline design experience | Relational database management (PostgreSQL/MySQL) | Data schemas and storage system optimization | Data validation and monitoring workflows | Production data engineering at scale | LLM-related data workflows,"Apply with caution - your research experience shows relevant foundations, but you'll need to clearly translate your academic data work into production data engineering terms that match their infrastructure needs.",https://www.linkedin.com/jobs/view/4396573840/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=hcgJroqeW4FcQtTBhln28w%3D%3D&trackingId=lNNVa38yvrEWgr5R%2B5mtKw%3D%3D&trk=flagship3_search_srp_jobs
