Title,Company,Location,SalaryFit Score,Response Probability,Missing Skills,Verdict,URL
Consultant – Data Engineer (Data Architecture & Advanced Analytics),International Atomic Energy Agency (IAEA),"Innere Stadt, Vienna, Austria (On-site)",$70/hr - $120/hr,65,35,Snowflake or cloud data platforms | dbt/Airflow orchestration tools | Power BI/Tableau visualization | Data Lakehouse architecture | ELT/ETL pipeline design | Data governance frameworks | Commercial data engineering experience,"Should apply cautiously as the strong technical foundation and IIT background could compensate for missing enterprise data engineering experience, but will face competition from candidates with direct Snowflake/BI tool experience.",https://www.linkedin.com/jobs/view/4388068812/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5ZLJOkeH2gPAUTSaNIhc1w%3D%3D&trackingId=JHgUue6183orgTo2AMznTQ%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist (Python & SQL) - Freelance AI Trainer,Mindrift,Austria (Remote),"On this project, contributors can earn up to $58 per hour equivalent, depending on their level and pace of contribution.",65,25,"SQL and database operations | 5+ years hands-on data science experience | GenAI technologies (LLMs, RAG, prompt engineering) | MLOps practices and model deployment | Master's/PhD in Data Science/Statistics/CS | Business impact demonstration | Real-world industry problem solving","Should not apply yet - lacks the required GenAI expertise and SQL skills that are core to this specific AI trainer role, plus the non-EU visa situation in Austria creates additional barriers.",https://www.linkedin.com/jobs/view/4389476692/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5ZLJOkeH2gPAUTSaNIhc1w%3D%3D&trackingId=Bz04y1oHsJOnyeYcFqUEeg%3D%3D&trk=flagship3_search_srp_jobs
Freelance Machine Learning Engineer,Mindrift,Austria (Remote),"On this project, contributors can earn up to $58 per hour equivalent, depending on their level and pace of contribution.",65,25,5+ years ML experience with proven business impact | Master's/PhD in specified fields | Experience designing STEM problems for others to solve | Documentation of problem statements with verified solutions,"Apply, but set realistic expectations - the technical fit is decent but the experience gap and visa requirements for this Austrian freelance role significantly limit chances.",https://www.linkedin.com/jobs/view/4389448676/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=zPTSCScEGOwHD1tJg5ymsA%3D%3D&trackingId=Sjha%2Fr%2BSYDigfhcrqU6ZZw%3D%3D&trk=flagship3_search_srp_jobs
Freelance Data Science Engineer (Python & SQL),Mindrift,Austria (Remote),"On this project, contributors can earn up to $58 per hour equivalent, depending on their level and pace of contribution.",65,35,"SQL and database operations | 5+ years hands-on data science experience | GenAI/LLMs/RAG/prompt engineering | Business-focused data science (finance, telecom, e-commerce) | Master's/PhD in quantitative field | MLOps production experience","Should not apply due to missing 5+ years requirement, lack of SQL/GenAI skills, and academic vs. business data science mismatch, despite strong ML fundamentals.",https://www.linkedin.com/jobs/view/4389482989/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=RndFl02k13igh093b02ZUA%3D%3D&trackingId=DZw7o0X9AszmEcgyMiNLGg%3D%3D&trk=flagship3_search_srp_jobs
"PhD Machine Learning/AI Researcher/Engineer : NeurIPS, ICML, ICLR, JMLR : start-up Hedge Fund",Hunter Bond,European Economic Area (Remote),Base salary $170-250k plus huge bonus (circa $100k) and equity on offer. Apply now!,65,25,Top-tier venue publications (NeurIPS/ICML/ICLR/JMLR) | Large-scale transformer training | Generative AI models | Finance domain knowledge | PhD degree,This candidate should not apply as they lack the explicitly required top-tier ML venue publications and large-scale transformer/generative AI experience that define this elite quant fund role.,https://www.linkedin.com/jobs/view/4388463560/?eBP=BUDGET_EXHAUSTED_JOB&refId=%2BAWVCdNKez7t8iafPpliHA%3D%3D&trackingId=ReRAXhmZDDnDkDkVKTERXQ%3D%3D&trk=flagship3_search_srp_jobs
Analytical Software Expert | Remote,Crossing Hurdles,EMEA (Remote),$100/hr - $100/hr,65,45,Mac system access | UI annotation/screenshot experience | Screen recording workflows | Origin/Stata/EViews experience | Workflow documentation experience,This role is a content creation/documentation position that doesn't utilize the candidate's ML expertise and requires specific workflow recording skills they haven't demonstrated - likely not a good strategic fit.,https://www.linkedin.com/jobs/view/4377369795/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GgFnf7Yt6GXuyhYjLmu7xg%3D%3D&trackingId=QtDbR4StaU8KLdKFv37vjg%3D%3D&trk=flagship3_search_srp_jobs
Research Development Consultant,Work Consulting,European Union (Remote),"€3,000 – €8,000 per month( Part-Time/Temporary Engagement）",65,25,"PhD degree | 3+ years post-PhD experience | Patent/technology transfer experience | Expertise in non-AI priority areas (biomedical, physics, chemistry, materials science, etc.) | Commercial R&D background","Should not apply - the PhD requirement and post-PhD experience are hard barriers that cannot be overcome, regardless of technical competence.",https://www.linkedin.com/jobs/view/4389390073/?eBP=BUDGET_EXHAUSTED_JOB&refId=vYjglwCtAzcZPjQ6nOAOnA%3D%3D&trackingId=SSJeSh4ieywB4P773EG3KA%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist,Mondi Group,"Vienna, Vienna, Austria (On-site)",,65,25,Manufacturing/industrial domain experience | Business stakeholder engagement | Production model deployment in business context | Optimization algorithms | Cloud platforms (AWS/Azure) | German language skills | R programming,Apply with caution - strong technical fit but significant gaps in manufacturing experience and visa requirements may limit chances despite solid ML engineering background.,https://www.linkedin.com/jobs/view/4387914486/?eBP=CwEAAAGdIinMGsGETxUVJRm-Na8co2_u57o9kct-1dqDPqGVVlpv7mSt9imzSZRHUJ-2BuGMTPytjAiuhoBQKAb6e4X4MmWBU87a-rfJh4qaCgT0qUqxpYGJesGB7lVjjEYQWpkTpZtPCellLeKZdganlk9eC_f9dw59OJaOOtcEL9pdhYdh_v_MlZGilxBzHxSajJOAzI-RQMP2V6oexWI8LYodkyS0xsCptTHlbi0tV-P5Ptj0Cu63AnOugkL1Z6rSSw8EqIz76ou6vE7VSlaWeQjLFXaVpzcwDfvPCJ8_1LvAf6BmbDZO-Es8CWOuF2ffB8Ouy_zDvshFz5WfthHM5RKhK-b_fwtTEy9KfsnOTlCgWVte2vo9of-IRFGiw49Ea6V7wQEBYtc-x9nxeiFiVvpJI7hrD8scsJAeLwUAzPYVYFpOktaboFdrR73GIrgOeEF7VoMyOhcqNnJfKamNrRT55jglMiX9f40CJxfcUSaCtojOQS3xMuv8fK4y6yOysUchuTAYc8hA9s7jz5_4LbISTc9FIAMI1fjbgTnykFm-pH-gqA&refId=c2t0AEOjyI%2FGmMqpahQnvg%3D%3D&trackingId=2NJA4EtdJrUXG4j4ZR8x9Q%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer (Remote),Jobs Ai,European Union (Remote),Hourly contract: $100–$200 per hour (based on experience and expertise),45,25,Traditional software engineering | System design at scale | Infrastructure/DevOps | Web development | Database design | Distributed systems,"Should not apply - this is a mismatch between ML research experience and generalist software engineering requirements, with visa complications reducing competitiveness further.",https://www.linkedin.com/jobs/view/4389701433/?eBP=BUDGET_EXHAUSTED_JOB&refId=WmGXFfng1onl9Hiup%2ByEJA%3D%3D&trackingId=Bo7ICuP1PD6LUCUuCQApUw%3D%3D&trk=flagship3_search_srp_jobs
Python Developer,OnTheGoSystems,EMEA (Remote),$80/hr - $110/hr,45,25,WordPress/WPML ecosystem experience | Web development background | PHP knowledge | Frontend technologies | Localization/translation domain knowledge,"Should not apply - this is a WordPress/web development role disguised as a Python position, and the candidate's pure ML/research background doesn't align with building localization tools for websites.",https://www.linkedin.com/jobs/view/4388553600/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=%2BAWVCdNKez7t8iafPpliHA%3D%3D&trackingId=7nL8satMvoca2jTIGIT3vQ%3D%3D&trk=flagship3_search_srp_jobs
AI Software Engineer Intern,fiskaly,"Vienna, Vienna, Austria (Hybrid)",,45,25,JavaScript/TypeScript | GitHub Actions/CI-CD | Documentation tooling | LLM integration workflows | Jira integration | Student status requirement,Should not apply - this is a mismatch where the candidate is overqualified in ML but underqualified in the specific software engineering toolchain this internship requires.,https://www.linkedin.com/jobs/view/4385493267/?eBP=CwEAAAGdIh__8lhJeelPQAZWaBu0y6E8O2mZsksiDxRBMOas6mfLu9ISSPDc0rBRaH_peWNyvnJ0h-XrrzQm6XfFdP2rzQAavb2mykNX6lC-gyNqqeawZLljckQ-W3CjAhTb5IIMyzx68fpTNG8pkIzYt705tYxUVcvx2XAQO7Gh5jGgkSU45O3za_Yf9zUHSijugLFrXxcQyEC7SAWDhYw3-qGKIk_lnTQ0hy8NPxzrj_4fqIICzlZhr9_aqlyeHi-82znDRAZdpOM1-wO_MThq34OsGLeub7547nXcLeY-1dmIsMdl7vNEn06ptrpfij3vzOrdG9ePwnu3t6LZ975cdJM6k3oZhKzadjb66-gVRxqa3Ff1Op3-FrhG0hOafXL84MPzTW8Rydb7FMO9z_gy0N_QT-dEu3NYQAm6-ROB5UtLehIjxbur5ueEnzIwHi9SaT9ccbNxG5Io8c8-4TRGayke8ejOI74e1xLJB4AJ-3uLaNdxFb7IondqmPtbnf8-UtY2NaY0RLneWzo6ioHR8RaOtEJrqO36h185C42ezkcD&refId=SxipRCNDeXBXJv8NU021FQ%3D%3D&trackingId=c8mmhKRJqdMPPFCFqhhGGg%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer: AI Inference & Edge,Canonical,EMEA (Remote),$80/hr - $90/hr,45,25,Go or C++ (3+ years professional) | Kubernetes | Hardware accelerators (GPU/NPU) | Ubuntu/Snap packaging | CI/CD pipelines | IoT frameworks and protocols | Shell scripting,"Don't apply - this role requires 3+ years of professional Go/C++ systems development which the candidate lacks, and Canonical will prioritize EU candidates with stronger infrastructure engineering backgrounds over research-focused ML engineers.",https://www.linkedin.com/jobs/view/4387802463/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=SxipRCNDeXBXJv8NU021FQ%3D%3D&trackingId=%2BGb857RPbGGi4uhsM4iz4w%3D%3D&trk=flagship3_search_srp_jobs
Senior Python Developer für GenAI (w/m/d).,Helvetia Insurance Austria,"Vienna, Vienna, Austria (Hybrid)",$70/hr - $120/hr,45,15,GenAI/LLM experience | Cloud platforms (AWS/Azure) | German language proficiency | Insurance domain knowledge | Enterprise software development | Agile team experience,"Should not apply - the German language requirement and lack of GenAI experience make this a poor fit, despite strong general ML background.",https://www.linkedin.com/jobs/view/4105575977/?eBP=CwEAAAGdIiBtN0tiCKIrTmzFFl6kqBt1enZvihiIj91UPorRhEPumlibUdJmo1TGn-HYiT09eJYRW1-CPG0Zk0-e5WZBmlhsTHEfZ6iTh0WhlDmoZ71osmEgFlVXPVNNXp43HVZISfz24NDVwbWjDneipeymRPoKUS4uolh89aDMZSg8FkRgGDZa7M5KlehDvdbFlHGzQU1prkTmroKlFW5VrHtr3fQLgY_Ar93a8HLUJWdYqJ3SWrXz6CBF2vQejuG1JiDKWLYlBLW_1p0uwtGjGW8k-ylIaXECcoF7UUboXJd2LNYHWz3DFRuZyJ0p--rmucz_IN3412Y6zgBijg0U_EzvQCdmIkmyCLCFUzy_9qo4_llyyyEzIRnGMWgGP4h76EWkmg0f0cKlSjkN_t0bpu62_Pcr85u6jsPj7Qt-FL9CGupTpwfe2pomTzBKp5gpL-FShYCxNLFhKYGpfOEJQ_v20CghHRTKPvDjHgvdrgUqgkRZ9V8fKkxYIu3LwTE9wND18KIrBw-OE08S_eWRc8jQBeB1Q7G-p5U_&refId=Wd5WC19q5n3CcXw704PjwA%3D%3D&trackingId=8G5F2qYKysjnzHUfrBIanQ%3D%3D&trk=flagship3_search_srp_jobs
Software Developer | Remote,Crossing Hurdles,European Union (Remote),$150/hr - $150/hr,45,25,JavaScript/ReactJS | C/C++ | Java | Rust | Go | Full-stack web development | Top-tier product company experience | Enterprise software development | Software testing and deployment pipelines,"Should not apply - this is clearly a software engineering role requiring broad language expertise and enterprise development experience, not an ML engineering position suited to your research-heavy background.",https://www.linkedin.com/jobs/view/4369848108/?eBP=CwEAAAGdIiC8oo1efoLEbil6x8eolXWpxMSv4cO3xj6pSOwRDewX9rJtfYF4VVTzhb9TqK0jBhq4IgGqKQmiZmExPqMnDXjquhaLge0OEhsLjBZPF-JAFsUd0hT2wBb4_01QAtx9ERmeKXFEdocjYdRXuCSmHuKCCUKm_0KQNAphWahDs-XGUJQPrDNFozMh1Q2p0r5eJedCM__5g7T2VjAk7iB0O_ow_EHxUcRyPD_W6hZwonELL4EKFbUb8sk5jijmCNTa4Wd_BYHt0m3YGEL5i3q1SmiYCtDQmfxwcwXsR65cHGQaAyUNdGdyolKAHmxxwAMnWltU7YwKXcK8FaRdoupAmuzmaCD9Pv6rmE4-U_Txzo7hqQAMiTIut_khyksa8p8z-0sM3UrWQ0H8POQOw3DvemhQM5kOVN5wrSGdjEmjuL-xYvO-62xro-uINsTT-1DXa1jjlKNpq0MwXhnG-s7hY3VqNUVgyi80zJV0--JzuQtL2i4vsSAS9PF3sRN0ZseMkjzYHuWBDdD7LugcelaeIP1Z8h87-UEgGhM&refId=oMuTYVmJ1rmvAZrH1d3Usw%3D%3D&trackingId=uwmfAYw5Z6di5dG5WRRQ8w%3D%3D&trk=flagship3_search_srp_jobs
DevOps Engineer (Docker) | $35/hr Remote,Crossing Hurdles,EMEA (Remote),DevOps Engineer (Docker) | $35/hr Remote,45,25,CI/CD pipeline design and maintenance | DevOps practices and tools | Container lifecycle management | Production system monitoring | Infrastructure automation,Don't apply - you're a strong ML engineer but lack the core DevOps infrastructure experience this role requires.,https://www.linkedin.com/jobs/view/4387991855/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nCvEqlt3xN5R%2BanKsoHk3w%3D%3D&trackingId=BXk3BjWn5SKy%2B6SHeL4DBg%3D%3D&trk=flagship3_search_srp_jobs
Applied AI Data Scientist (CEO Office),TheSoul Group,DACH (Remote),$80/hr - $90/hr,45,15,Russian language fluency | Kaggle Master+/competitive coding credentials | SQL production experience | Content/media analytics | Business stakeholder communication | CTR/engagement metrics analysis | LLM/AI agents experience | PB-scale distributed systems,"Should not apply - the hard requirements of Russian fluency and competitive coding credentials are missing, making this application unlikely to progress despite solid ML technical skills.",https://www.linkedin.com/jobs/view/4378844915/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=v%2FR1zKbAsJbyPjNQY7WNSg%3D%3D&trackingId=Uh2GCqwtqjTb80N4jke%2FEA%3D%3D&trk=flagship3_search_srp_jobs
Physics Researcher (Python) - Freelance AI Trainer,Mindrift,Austria (Remote),"On this project, contributors can earn up to $42 per hour equivalent, depending on their level and pace of contribution.",45,25,"Physics degree (has Aerospace Engineering) | 3+ years professional physics experience | Physics domain expertise in thermodynamics, statistical mechanics, optics, acoustics | Experience designing physics problems | Professional physics certifications",This candidate should not apply as they lack the fundamental physics degree and professional physics experience that are hard requirements for this role.,https://www.linkedin.com/jobs/view/4388607134/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=v%2FR1zKbAsJbyPjNQY7WNSg%3D%3D&trackingId=uuu5UumfXnOpNgKdWPA3Aw%3D%3D&trk=flagship3_search_srp_jobs
Applied AI Data Scientist (CEO Office),TheSoul Group,European Union (Remote),$80/hr - $90/hr,45,15,Russian language fluency | Kaggle Master+/competitive programming credentials | Social media/content analytics experience | SQL production experience | LLM/AI agents experience | Business strategy communication | CTR/engagement metrics analysis,"Should not apply due to missing mandatory Russian language fluency and lack of required competitive programming credentials, plus significant domain mismatch between neuroscience research and content analytics.",https://www.linkedin.com/jobs/view/4378846768/?eBP=CwEAAAGdIiNFjPTLbiW87XNJbsl5ncj7H7yAxw_yYMxX_9BQEv6s2vhPWoGSH9jqZxJYps_maQtwP0uPxwiyMKsYZhilIMW2Y5A-gyuFt-olh5UiaMW3DlQP5MAPgYmiLpoWqNuyIs_29VwaPWs9MOt8M1beTYqDeB1S2tLz4fQfUdaq-4mW3XWFupJUYrPwlc03b_GA7UMPInzlZqOybEOsgW0Q5ny_aew6Sog89pBJLSWu39tz4mMRra17XMNk_A66Kf_LSF8jvNDCS1rnLz9BKNvBgRQSgoXcCGQTrcU6ZWnZLP27LJzHefH2bX8_XzD8XDYpa8542YiSfYt4O9OtKXL9MhDP_fE-RFR7H33vQ-t4W_kohjIGQUInZMI4_DxyWAKcbQFlNn-GzgB4UwqcYyj9JLybQhygChhiX2zPmv6oD04wB21we8K1mxEXIPasvHqUQUQWvts7Ui5JDDvzovNUW-9EvJdEGATygWqWi3OdlC0QwISbQ2TzFTstjV-V42WUUyuW6P1MU55ThLCbSFJEqhwlhmKJHSWG&refId=5KtyKCQGJD4mrmG%2BLGZNkg%3D%3D&trackingId=t2my4SjyhgOc47wkzq58Qg%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Engineer - Applied AI & Data Products,SQUER,"Vienna, Austria (Hybrid)","At SQUER, we understand that career growth and learning are key to the success of our employees and our company. That's why we offer a range of opportunities for our team to constantly build their knowledge and skills. One of the ways we support our team's learning is through a freely available further training budget of €5,000 per year. This allows our employees to invest in their own education, gain new insights that can be applied to their work, and allow them to bring fresh ideas back to SQUER.",45,25,"LLM/GPT integration | RAG (Retrieval-Augmented Generation) | Cloud AI services (Azure OpenAI, AWS Bedrock) | LangChain | Production software engineering | German fluency | NLP APIs/Cognitive Services","Don't apply yet - the role requires LLM/applied AI experience and German fluency that this candidate lacks, despite strong foundational ML skills.",https://www.linkedin.com/jobs/view/4389819299/?eBP=CwEAAAGdIiNFjHOD31f-NNyHK7MHFbTdK16TMPf51kDOk-Wwub487VKTvgDFZUYERKf2x59ZZnB6r0plWB_ctEHvdeU7bZhJ107gT2YE3GV9xZ4pF23Rm0VxFhwoYdgMRg0jWagVu89sTDrRj5hivV3K7L2TBAQw6-4-BtJCUifS5Pjwga9DDFuA-JjyQyiFVePA3zyoCfApFTr-f-BLVjOKgxrJ0evpr6tI52K4Jfr3DfyVtvuApX1ledNjxRAVkTrzXiUf7jSs6mjvEoM5P9sHtR3FeMxy680xCExJ_RkNQH99Ywo8upFA3XayFG8alSYWWhZ7Mr8C9rqkoTLQuknaUTw4KV-WV8JykzXImMneBk6nyDzAGQmjwrX73vmYvkIrXbiCwaYmrU2zb-Y1U7Xh9A1Uqj875X89M4WXYy2oPzPLdBzARzbZNCg_8Q4G9fO8DVqWSiiLGht_KlUXWjERQr7RFmTMCjNHVMNf45-glFtBk0jEqSmTGp0p6GOX&refId=5KtyKCQGJD4mrmG%2BLGZNkg%3D%3D&trackingId=FBbRfRJtIMd00M%2F3HZg5OQ%3D%3D&trk=flagship3_search_srp_jobs
