SKILL GAP ANALYSIS
============================================================

   16x  German language proficiency
    1x  Commissioning processes understanding
    1x  Embedding pipelines
    1x  Prompt engineering
    1x  Function calling/tool use
    1x  SQL database operations expertise (only mentions LeetCode SQL 50)
    1x  Business-focused data science across industries like finance, telecom, healthcare
    1x  5+ years hands-on data science experience (has 4+ years)
    1x  Big data processing at scale beyond 11TB research datasets
    1x  JavaScript, Java, or C++ experience
    1x  Code review and pull request experience
    1x  Chat-style developer prompt creation
    1x  Software engineering workflows beyond ML
    1x  Educational content development for software engineering
    1x  German language proficiency (job requires 'sehr gute Deutsch')
    1x  Cloud architecture experience (AWS/Azure)
    1x  AI solution architecture for enterprise clients
    1x  Consulting/client-facing experience
    1x  Business development and proposal writing
    1x  Microsoft Azure specific knowledge
    1x  Enterprise AI implementation experience
    1x  Shopify development experience
    1x  Liquid templating language
    1x  HTML/CSS for web development
    1x  E-commerce platform expertise
    1x  Frontend web development focus
    1x  Shopify store customization experience
    1x  5+ years software development experience
    1x  Full-stack development with React
    1x  Backend systems development
    1x  pytest framework
    1x  async/await Python patterns
    1x  subprocess operations
    1x  Functional and integration testing experience
    1x  Computer Science/Software Engineering degree
    1x  Databricks & Delta Lake
    1x  PySpark
    1x  Lakehouse architecture
    1x  Medallion architecture
    1x  Data warehousing
    1x  Batch/streaming pipelines
    1x  DataOps practices
    1x  Performance optimization for data workloads
    1x  Power BI development
    1x  DAX and Power Query
    1x  Snowflake or cloud data warehouses
    1x  Data modeling (star schemas, semantic layers)
    1x  HR/People domain experience
    1x  Business intelligence/reporting focus
    1x  ETL/ELT pipeline design experience
    1x  Relational database management (PostgreSQL/MySQL)
    1x  Data schemas and storage system optimization
    1x  Data validation and monitoring workflows
    1x  LLM-related data workflows
    1x  Modern C++ (C++17+)
    1x  CI/CD tools (Jenkins, GitLab CI, GitHub Actions)
    1x  Testing frameworks (Google Test, Catch2)
    1x  Embedded Linux (Yocto)
    1x  High-performance/real-time systems
    1x  Distributed systems and networking
    1x  Performance profiling and optimization
    1x  C/C++ expertise
    1x  JavaScript/ReactJS
    1x  Rust
    1x  Go
    1x  Production-grade enterprise software development
    1x  Multi-language codebase evaluation
    1x  3+ years TypeScript experience
    1x  Product engineering experience
    1x  Frontend development (React, Next.js, Tailwind)
    1x  PostgreSQL database experience
    1x  Production software shipping experience
    1x  GraphQL APIs
    1x  Postgres
    1x  Full-stack web applications
    1x  LLM integration patterns
    1x  Commercial software development
    1x  Mechanical Engineering degree (has Aerospace)
    1x  Experience creating computational engineering problems
    1x  Azure cloud platform experience
    1x  Azure Synapse, Azure Data Factory, Microsoft Fabric
    1x  Azure DevOps CI/CD pipelines
    1x  Scala or Java development
    1x  Cloud strategies (IaaS, PaaS, SaaS)
    1x  Analytics platform development
    1x  MS-SQL/T-SQL development
    1x  Database design
    1x  Stored procedures and functions
    1x  ERP systems experience
    1x  Custom reporting
    1x  Data migration scripts
    1x  Performance optimization of SQL queries
    1x  Management reporting
    1x  Professional C++ development experience
    1x  High-performance C++ applications
    1x  Legacy codebase optimization
    1x  Performance-critical application development
    1x  Real-time systems experience
    1x  Modern C++ standards knowledge
    1x  Agile methodologies experience
    1x  Degree in Electrical Engineering
    1x  Electrical engineering domain knowledge
    1x  Software testing experience (requires minimum 2 years)
    1x  ISTQB/Tosca/Selenium certifications
    1x  Java/C++ knowledge
    1x  Test automation tools (Postman, SOAP UI, Protractor)
    1x  Database knowledge (SQL, PL/SQL, Oracle)
    1x  Enterprise applications (SAP, ServiceNow, Salesforce)
    1x  Manual and automated test case creation
    1x  German language proficiency (job requires 'sehr gute Deutschkenntnisse')
    1x  6+ years Python experience
    1x  Frontend/React development
    1x  People management of developers
    1x  E-commerce/CMS experience
    1x  Polish language requirement
    1x  Presales technical support
    1x  Software Quality Engineer experience
    1x  Quality assurance processes and standards
    1x  Test automation frameworks
    1x  Agile QA methodologies
    1x  Database design knowledge
    1x  Architecture and design patterns
    1x  Financial services domain experience
    1x  Windows systems administration
    1x  Network administration
    1x  System testing methodologies
    1x  Integration/regression testing
    1x  Hardware/embedded systems
    1x  Telecommunications systems
    1x  Quality assurance processes
    1x  5+ years Golang experience
    1x  Kubernetes expertise
    1x  Kubernetes Operators knowledge
    1x  Object-oriented programming in systems context
    1x  Cloud-native development experience
    1x  Software engineering in production environments
    1x  Panda3D engine experience
    1x  Godot engine experience
    1x  GDScript programming
    1x  Game physics systems
    1x  Real-time game environment optimization
    1x  Interactive gameplay mechanics
    1x  Cross-platform game development
    1x  Angular 18+ development
    1x  Frontend testing (Jasmine, Karma)
    1x  Angular Web Components
    1x  Responsive Web Design
    1x  Accessibility standards
    1x  Frontend leadership experience
    1x  Security clearance eligibility
    1x  Windows Server administration
    1x  Network technology (Routing, Switching, Firewalls)
    1x  Virtualization (VMware)
    1x  IP communication systems
    1x  System integration experience
    1x  Cisco technologies
    1x  Installation and configuration of enterprise systems
    1x  System Engineer role experience
    1x  Spring Framework
    1x  JPA
    1x  Angular
    1x  Test Driven Development
    1x  Backend web services
    1x  5+ years commercial data engineering experience
    1x  ClickHouse or BigQuery
    1x  Commercial backend development
    1x  FinTech domain experience
    1x  Java development experience
    1x  CI/CD tools like GitHub Actions and Maven
    1x  Backend/fullstack engineering in production systems
    1x  Release management and dependency management
    1x  CVE management
    1x  DevOps toolchain beyond Docker
    1x  Business process automation systems
    1x  .NET framework
    1x  HTML/CSS
    1x  Frontend frameworks
    1x  REST services development
    1x  SQL/Oracle databases
    1x  Agile methodologies (Scrum/Kanban)
    1x  Windows Server/IIS
    1x  Full stack web development
    1x  Java/.NET
    1x  Stakeholder collaboration in business context
    1x  Cocos2d-x framework experience
    1x  Game engine development
    1x  Computer graphics and rendering pipelines
    1x  Memory optimization for games
    1x  Mobile/desktop/console game deployment
    1x  2D/3D game project experience
    1x  7+ years backend development experience
    1x  JVM languages (Scala/Java/Kotlin)
    1x  AWS Cloud Services
    1x  NoSQL databases
    1x  Unit testing frameworks
    1x  Backend application architecture
    1x  Production backend systems experience
    1x  5+ years production backend/distributed systems experience
    1x  Enterprise system integrations (CRMs, ticketing, telephony)
    1x  LLM-based production systems
    1x  Customer-facing role experience
    1x  Multi-step AI agent development
    1x  Tool calling and orchestration frameworks
    1x  Enterprise authentication systems
    1x  Arabic language skills
    1x  Large-scale audio/speech data experience (1M+ hours)
    1x  Audio processing tools (torchaudio, librosa)
    1x  Speech models (Whisper, Wav2Vec)
    1x  Audio quality metrics (MOS, WER, PESQ/STOI)
    1x  Speech-specific tasks (ASR, TTS, diarisation)
    1x  Data engineering tools (Spark/Beam, Airflow)
    1x  Audio spectrograms and DSP
    1x  Godot Game Engine expertise
    1x  GDScript proficiency
    1x  Shipped game projects
    1x  2D/3D game development pipeline experience
    1x  Game optimization techniques
    1x  Gameplay systems design
    1x  SAS expertise
    1x  Actuarial background
    1x  Financial services experience
    1x  SAS to Python migration experience
    1x  Panda3D framework experience
    1x  Game loops implementation
    1x  Interactive application development
    1x  3D game development focus
    1x  Performance optimization for games
    1x  Java/JEE/Spring framework
    1x  Angular or React
    1x  HTML5/CSS3
    1x  SQL and NoSQL databases
    1x  Kubernetes/OpenShift
    1x  API management tools (APIGEE, API Connect)
    1x  5-6 years fullstack development experience
    1x  10+ years Marketing/Sales applications experience
    1x  Salesforce, SAP S4, Anaplan, Conga, Adobe AEM expertise
    1x  Enterprise Architecture frameworks (TOGAF, Zachman, FEAF)
    1x  ServiceNow CMDB, SAP LeanIX, or Ardoq experience
    1x  Business requirements to IT capabilities translation
    1x  Enterprise architecture design and implementation
    1x  IT strategy and governance
    1x  Stakeholder management with business leaders
    1x  Java/Jakarta EE
    1x  Maven
    1x  Jenkins
    1x  application servers (JBOSS/Wildfly, Tomcat)
    1x  OpenShift
    1x  database management
    1x  enterprise software development
    1x  TDD practices
    1x  code reviews in enterprise context
    1x  React frontend development
    1x  Java backend development
    1x  Angular framework
    1x  .NET development
    1x  2-3 years software development experience
    1x  Frontend/backend architecture
    1x  Agile/Scrum methodology
    1x  Java 17
    1x  Spring Boot/Spring Cloud/Spring Data
    1x  MySQL with MyBatis
    1x  Redis caching
    1x  RocketMQ message queues
    1x  Object-oriented design in Java ecosystem
    1x  High-scale transactional systems
    1x  Behavior-driven testing
    1x  Industrial automation systems
    1x  Manufacturing processes knowledge
    1x  Control systems experience
    1x  5-7+ years software development
    1x  Frontend/backend web technologies
    1x  Database integration for web applications
    1x  libGDX framework experience
    1x  Game development experience
    1x  2D/3D game design and development
    1x  Gaming UI implementation
    1x  Gameplay mechanics implementation
    1x  Desktop/Android/web game deployment
    1x  5+ years professional TypeScript development
    1x  TypeScript application architecture
    1x  Professional software development experience
    1x  Clean code practices in TypeScript
    1x  Code review experience in TypeScript
    1x  3+ years DevOps experience
    1x  AWS cloud platforms
    1x  Kubernetes management
    1x  Service Mesh concepts
    1x  TCP/IP networking
    1x  HTTP protocol
    1x  Redis/Memcached
    1x  Nginx
    1x  Infrastructure monitoring
    1x  JVM optimization
    1x  MySQL/Oracle databases
    1x  PySpark hands-on experience
    1x  Big data technologies (Spark, Hadoop)
    1x  Financial Services/Insurance domain
    1x  Enterprise data engineering
    1x  Data modeling
    1x  Senior-level data engineering role
    1x  AWS core services (EC2, S3, VPC)
    1x  Terraform Infrastructure as Code
    1x  Jenkins CI/CD pipelines
    1x  CloudWatch/Grafana monitoring
    1x  DevOps-specific experience
    1x  2+ years AWS work experience
    1x  Django framework
    1x  ReactJS
    1x  PHP
    1x  OpenSearch
    1x  Redis
    1x  RabbitMQ
    1x  Celery
    1x  Full-stack development
    1x  Leading/mentoring developers
    1x  Software engineering lifecycle in web applications
    1x  Node.js/TypeScript 5+ years
    1x  Async programming approaches
    1x  Kafka/RabbitMQ messaging systems
    1x  Distributed systems architecture
    1x  MySQL/PostgreSQL/MongoDB databases
    1x  Kubernetes hands-on experience
    1x  E2E and unit testing
    1x  Backend web development
    1x  Sales/Vertrieb experience
    1x  Pharmacy/Apotheken sector knowledge
    1x  Territory management
    1x  Product placement and merchandising
    1x  Revenue target achievement experience
    1x  Automotive license/driving capability for field sales
    1x  Design discipline expertise
    1x  Manufacturing knowledge
    1x  Technical writing for academic instruction
    1x  Design engineering coursework
    1x  2+ years AWS SageMaker experience
    1x  2+ years Bedrock experience
    1x  Industrial inspection domain knowledge
    1x  Video and ultrasonic scan processing
    1x  AWS cloud infrastructure
    1x  Production model monitoring systems
    1x  LLM/GPT API integration
    1x  Anthropic Claude API experience
    1x  Prompt engineering for classification
    1x  Production LLM system ownership
    1x  JSON schema validation with Pydantic
    1x  Token budgeting and context window management
    1x  LLM evaluation frameworks
    1x  Structured output prompting
    1x  10+ years pharmaceutical industry experience
    1x  Senior leadership experience in large organizations
    1x  Clinical trial design and analysis
    1x  Digital biomarker/healthcare domain expertise
    1x  Regulatory affairs knowledge
    1x  Medical device development experience
    1x  Team management and strategic roadmap development
    1x  Cross-industry collaboration at executive level
    1x  Product analytics experience
    1x  User behavior analysis
    1x  Product KPIs (activation, retention, engagement, conversion)
    1x  A/B testing frameworks
    1x  GA4/Amplitude experience
    1x  BI tools (Tableau, Looker)
    1x  Commercial product experience
    1x  Team leadership/management experience
    1x  Generative models (Diffusion, GANs, VAEs, LLMs)
    1x  Visual quality assessment and aesthetic modeling
    1x  Design principles knowledge
    1x  Production scaling at enterprise level
    1x  Human preference learning
    1x  Safety monitoring and red-teaming
    1x  Derivatives experience (options, volatility, structured products)
    1x  Market microstructure understanding
    1x  Financial markets knowledge
    1x  Greeks and options pricing
    1x  Order-book data experience
    1x  Backtesting financial strategies
    1x  Licensed notary or candidate notary credentials
    1x  Practical experience in notarial matters
    1x  Knowledge of document authentication and verification
    1x  Understanding of notarial acts and certification processes
    1x  EU/UK legal background
    1x  Experience with regulatory compliance in notarial context
    1x  PhD degree specifically required
    1x  Post-PhD experience (candidate has M.Tech + research experience but not PhD + post-PhD)
    1x  Cross-functional commercial collaboration
    1x  Patent development experience
    1x  Technology transfer strategies
    1x  Biomedical/materials/energy domain expertise
    1x  German language proficiency for teaching
    1x  Medical/biomedical engineering education
    1x  Healthcare/clinical industry experience
    1x  University teaching experience
    1x  Medical device regulations (MDR/IVDR)
    1x  Hospital/medical technology knowledge
    1x  eHealth/digital health experience
    1x  Enterprise/Solution Architecture experience
    1x  Cloud hyperscaler expertise (Azure/AWS/GCP)
    1x  DevOps/CI/CD pipeline implementation
    1x  Legacy system modernization
    1x  IT infrastructure and networking
    1x  10+ years pharmaceutical/digital health industry experience
    1x  Senior stakeholder management experience
    1x  Product management experience in large Pharma/Medtech
    1x  Clinical trials experience
    1x  Regulatory strategy experience
    1x  Digital biomarker development for clinical applications
    1x  Commercial product development experience
    1x  Leadership experience managing cross-functional teams
    1x  Pre-sales and business development experience
    1x  EU language proficiency (Polish, Dutch, Bulgarian, Danish, Finnish, Greek, Norwegian, Romanian, Swedish, French, German, Italian)
    1x  Data annotation or content moderation experience
    1x  Experience with conversational AI evaluation
    1x  LLM quality assessment experience
    1x  Personal Google account usage willingness for evaluation
    1x  Prompt engineering for personalization testing
    1x  Traditional engineering disciplines focus
    1x  Manufacturing or design engineering background
    1x  R, SAS, or SPSS proficiency
    1x  Traditional statistical consulting experience
    1x  Business-focused statistical methodology evaluation
    1x  Dashboard creation tools
    1x  Data privacy and ethical AI formal training
    1x  Client-facing statistical consulting
    1x  LLM deployment and integration experience
    1x  Claude/Google AI ecosystem experience
    1x  Automation platforms (Make, Zapier, n8n)
    1x  REST API integrations for business systems
    1x  CRM and operational data integration
    1x  AI agent/GPT building
    1x  MCP or custom connector frameworks
    1x  Professional services/legal tech experience
    1x  Pharma/biotech/healthcare domain experience (mandatory)
    1x  Real-world data (RWD) methodology
    1x  Health insurance data/EMR/EHR/claims data
    1x  FHIR/OMOP data formats
    1x  Healthcare compliance and GDPR
    1x  6+ years industry experience
    1x  A/B testing and experimental design
    1x  Cloud platforms (AWS, SageMaker)
    1x  MarTech products experience
    1x  Digital Asset Management systems
    1x  Marketing technologies
    1x  Interface management in marketing context
    1x  Digital marketing domain knowledge
    1x  Retail/e-commerce experience
    1x  Business intelligence tools (Power BI, Tableau)
    1x  Dashboard and visualization creation
    1x  Business stakeholder engagement
    1x  Data governance and compliance
    1x  Cloud-based data environments
    1x  API integration experience
    1x  Commercial software environment experience
    1x  7+ years data science experience (has 4+ years)
    1x  Digital biomarker domain expertise
    1x  Healthcare/medical device industry experience
    1x  AWS cloud platform experience
    1x  Regulatory knowledge (MDR/FDA)
    1x  Leadership of data science teams
    1x  Diabetes technology exposure
    1x  PySpark for big data processing
    1x  Top-tier competitive coding credentials (Kaggle Master+, ICPC, IOI, Codeforces IM+)
    1x  Business/content strategy experience
    1x  Social media/content analytics domain knowledge
    1x  LLM and AI agents development
    1x  Cloud platforms (AWS, GCP, Azure)
    1x  Kubeflow and Airflow experience
    1x  Database and data warehouse experience
    1x  CI/CD for ML pipelines
    1x  Model monitoring in production
    1x  Classification and recommendation models for business problems
    1x  R or Java programming languages
    1x  Game design experience
    1x  Gambling/casino industry knowledge
    1x  Commercial game development
    1x  Leadership of game design teams
    1x  Market analysis and trend identification
    1x  Product specification and compliance experience
    1x  Cross-functional team management
    1x  Stakeholder presentation experience
    1x  Understanding of regulatory frameworks in gaming
    1x  Audio/video telecommunications protocols (SIP, RTP, G.711, G.728, WebRTC)
    1x  IP-based audio/video transmission experience
    1x  Audio/video test and measurement equipment
    1x  Embedded hardware and electronic circuitry knowledge
    1x  Electroacoustics (loudspeakers/microphones)
    1x  Safety-critical systems experience
    1x  Anti-fraud/anti-cheat domain experience
    1x  Transformer-based models
    1x  Trust & Safety background
    1x  Security-related ML applications
    1x  Transactional/financial fraud detection
    1x  Adversarial pattern detection in gaming/fraud context
    1x  Business intelligence dashboard creation
    1x  Data storytelling for business audiences
    1x  Statistical consulting for non-research contexts
    1x  Kaggle Master+/ICPC/IOI/Codeforces IM+ credentials
    1x  LLM/AI agents experience
    1x  Business strategy communication to C-level
    1x  CTR/retention/engagement metrics experience
    1x  dbt framework experience
    1x  Microsoft SQL Server/Azure ecosystem
    1x  DAX knowledge
    1x  Spark experience
    1x  Microsoft Fabric/Azure Synapse
    1x  Data modeling in business context
    1x  Databricks platform experience
    1x  Scala or Java programming
    1x  CI/CD pipelines (Azure DevOps, Github)
    1x  Business Intelligence systems
    1x  Production analytics platforms
    1x  Compiler engineering experience
    1x  MLIR framework
    1x  Torch-FX
    1x  TVM
    1x  IR design
    1x  Graph compiler passes
    1x  Hardware accelerator knowledge
    1x  Code generation experience
    1x  No-code tools (Make, Webflow)
    1x  SaaS stack management (Salesforce, Calendly, Slack)
    1x  Google Cloud platform
    1x  Business process automation
    1x  German language
    1x  PropTech/real estate domain knowledge
    1x  Top-tier competitive coding credentials (Kaggle Master+, ICPC/IOI medals, Codeforces IM+)
    1x  Production data science experience in business contexts
    1x  SQL at production scale
    1x  Content/media/social platform analytics
    1x  LLM and AI agents experience
    1x  Business analytics and strategy translation
    1x  CTR, retention, engagement metrics experience
    1x  SAS or R programming
    1x  Business Intelligence tools (Qlik/Tableau/Power BI)
    1x  Big Data technologies (Hadoop, Spark, Hive)
    1x  Stakeholder management skills
    1x  PowerPoint and presentation skills
    1x  Business-focused data science experience
    1x  Building physics expertise
    1x  Construction engineering background
    1x  Multi-story residential/commercial building experience
    1x  Building codes and regulations knowledge
    1x  Structural engineering calculations
    1x  Construction supervision experience
    1x  Planning phases (preliminary design, detailed design, permitting)
    1x  Quality assurance in construction
    1x  5+ years building physics experience
    1x  HR/performance/recruitment tool domain experience
    1x  People management experience
    1x  SaaS and B2B product expertise
    1x  Business strategy and ROI-based prioritization
    1x  Product Owner role experience
    1x  Top-tier competitive coding credentials (Kaggle Master+/ICPC/IOI/Codeforces IM+)
    1x  Production Data Science experience
    1x  SQL proficiency for analytics
    1x  Business analytics and KPI optimization
    1x  LLM/AI agents deployment
    1x  German language proficiency (requires excellent German)
    1x  Multimedia systems and digital media technologies focus
    1x  Misinformation detection experience
    1x  Java, C, C++, JavaScript programming
    1x  Web-based systems and databases
    1x  Formal Computer Science education
    1x  Teaching experience in CS courses
    1x  Marketing experience
    1x  Paid media campaign management
    1x  Google/Meta/TikTok advertising platforms
    1x  Marketing funnel management
    1x  Music industry knowledge
    1x  Content strategy development
    1x  Marketing tools proficiency
    1x  Campaign optimization experience
    1x  Performance marketing background
    1x  German language proficiency (only A2 listed)
    1x  Customer-facing/consulting experience
    1x  Cloud infrastructure technologies (Azure, AWS, GCP)
    1x  Microsoft 365 and Copilot experience
    1x  Agent development in business/enterprise context
    1x  IT consulting or systems administration
    1x  Technical certifications in cloud platforms
    1x  Business value realization and ROI demonstration
    1x  Sales/pre-sales technical support
    1x  Mechanical/Electrical engineering background
    1x  Design and manufacturing expertise
    1x  Traditional engineering project documentation
    1x  Hardware/physical systems experience
    1x  4+ years B2B SaaS product management experience
    1x  Healthcare/health tech domain experience
    1x  User story and requirements writing
    1x  Product metrics definition and tracking
    1x  Customer discovery and validation experience
    1x  German language skills (very good required)
    1x  Client consulting and solution architecture experience
    1x  Salesforce Data Cloud knowledge
    1x  AWS (IoT Core, Lambda, ECS)
    1x  IoT protocols (MQTT, Modbus, M-Bus)
    1x  Node.js backend development
    1x  InfluxDB/MongoDB/PostgreSQL
    1x  Raspberry Pi
    1x  Engineering team management
    1x  Production IoT system architecture
    1x  Edge computing experience
    1x  BSc in Business/Management or related discipline
    1x  Proven experience in business expert or industry EP role
    1x  Business strategy and market analysis experience
    1x  Stakeholder presentation and business reporting
    1x  MacOS 15.0+ requirement
    1x  Business acumen and commercial experience
    1x  6 years management consulting/sales operations/business strategy experience
    1x  Management consulting background
    1x  Business operations experience
    1x  Sales operations experience
    1x  Corporate advisory experience
    1x  Process improvement in business context
    1x  Looker proficiency
    1x  Business planning and execution
    1x  Resource planning
    1x  Headcount management
    1x  Business reviews leadership
    1x  Explicit Computer Science degree
    1x  Professional certifications (CMME, SAS, CAP)
    1x  Direct experience designing CS problems for evaluation
    1x  Structured scoring criteria application experience
    1x  5+ years museums/cultural institutions/live entertainment industry experience
    1x  Commercial/partnerships/business development roles
    1x  High-value relationship management with museums
    1x  Ticketing platforms and revenue optimization experience
    1x  Sales and pipeline management
    1x  German C2 level proficiency
    1x  CRM systems (Salesforce) experience
    1x  Museum and attractions landscape knowledge
    1x  Design and manufacturing domain knowledge
    1x  Content licensing experience
    1x  Structured educational material development
    1x  Business Analysis fundamentals
    1x  SDLC knowledge
    1x  Agile/Scrum methodologies
    1x  Business Requirements Documents (BRDs)
    1x  User Stories creation
    1x  Process mapping
    1x  User Acceptance Testing (UAT)
    1x  Project documentation
    1x  GDPR knowledge
    1x  Jira/Confluence tools
    1x  PostgreSQL experience
    1x  OLTP/OLAP database knowledge
    1x  Workflow orchestration tools
    1x  Backend software engineering experience
    1x  Polars experience
    1x  Full Professional Proficiency in German (candidate only has A2 level)
    1x  2+ years residence in Austria
    1x  Familiarity with Austrian business, media, sport, news, social media and cultural affairs
    1x  Experience with maps, news, audio tasks, and relevance evaluation
    1x  Web-based data verification and comparison experience
    1x  Executive Assistant experience
    1x  Calendar management and scheduling
    1x  Travel arrangements coordination
    1x  C-level executive support
    1x  Office procedures and administrative processes
    1x  Client management and stakeholder communication
